,Total Bytes,Average Packet Size,Smallest Packet,Largest Packets,25%,50%,75%,No Sources,No of Destinations,No of IP srcs,No of IP dsts,unique addresses,No TCP Flags,No Protocols,Packet Count,Average Inter Arrival Time
88,23796,130.74725274725276,60,450,60.0,86.0,114.0,7,6,4,5,9,2,5,182,0.03296758791208791208791208791
89,14067,92.54605263157895,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,152,0.03947513815789473684210526316
90,14899,96.12258064516129,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,155,0.03871125806451612903225806452
91,18282,97.24468085106383,46,341,60.0,83.0,108.0,9,10,6,8,14,2,6,188,0.03191606914893617021276595745
92,15701,95.15757575757576,46,341,60.0,83.0,108.0,8,9,6,7,12,2,6,165,0.03636509090909090909090909091
93,18906,113.89156626506023,60,450,60.0,83.0,108.0,7,6,4,5,9,2,4,166,0.03614681325301204819277108434
94,23236,131.27683615819208,60,450,60.0,86.0,114.0,7,7,4,5,9,2,5,177,0.03389961581920903954802259887
95,15268,96.63291139240506,58,341,60.0,83.0,108.0,7,5,4,4,8,2,4,158,0.03797624050632911392405063291
96,14316,92.36129032258064,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03871019354838709677419354839
97,16629,97.24561403508773,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,171,0.03508979532163742690058479532
98,13876,91.28947368421052,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,152,0.03947541447368421052631578947
99,18966,113.5688622754491,60,450,60.0,83.0,108.0,8,7,4,5,10,2,5,167,0.03592946107784431137724550898
100,24330,136.68539325842696,60,450,60.0,86.0,114.0,7,6,4,5,9,2,4,178,0.03370958988764044943820224719
101,14676,91.15527950310559,60,341,60.0,83.0,108.0,9,8,5,5,12,2,6,161,0.03726712422360248447204968944
102,23373,86.88847583643123,46,341,60.0,61.0,97.0,8,12,6,10,14,4,6,269,0.02230563940520446096654275093
103,14496,91.74683544303798,60,341,60.0,83.0,108.0,7,5,4,4,8,2,4,158,0.03797620886075949367088607595
104,47223,87.12730627306273,54,341,60.0,60.0,87.0,8,7,5,5,9,7,4,542,0.01107084686346863468634686347
